date,time_opened_seconds
2020-04-10 09:19:24.192,4.11
2020-04-10 09:19:53.645,3.01
2020-04-10 09:23:38.748,3.61
2020-04-10 09:29:32.884,26.05
2020-04-10 09:36:51.274,6.81
2020-04-10 09:37:11.211,4.51
2020-04-10 09:46:05.393,8.32
2020-04-10 09:46:40.758,6.91
2020-04-10 09:50:33.477,11.82
2020-04-10 10:08:34.229,7.41
2020-04-10 10:09:13.601,4.11
2020-04-10 10:09:27.227,3.11
2020-04-10 10:29:38.709,12.12
2020-04-10 10:34:10.284,62.19
2020-04-10 10:51:05.689,34.86
2020-04-10 10:52:05.699,10.22
2020-04-10 11:08:10.732,7.31
2020-04-10 12:07:07.442,10.42
2020-04-10 12:08:27.485,8.82
2020-04-10 12:12:58.571,9.22
2020-04-10 12:14:39.155,18.03
2020-04-10 12:21:34.204,5.51
2020-04-10 12:22:57.154,10.12
2020-04-10 12:35:08.987,14.53
2020-04-10 13:02:59.834,9.22
2020-04-10 13:36:36.410,18.54
2020-04-10 13:38:06.779,17.03
2020-04-10 13:40:59.993,3.21
2020-04-10 13:42:44.781,5.71
2020-04-10 13:51:47.261,9.32
2020-04-10 13:51:59.083,7.51
2020-04-10 14:11:55.935,6.81
2020-04-10 14:16:31.841,18.63
2020-04-10 14:18:46.293,7.11
2020-04-10 14:31:45.907,13.32
2020-04-10 14:43:46.609,13.22
2020-04-10 14:45:21.983,17.03
2020-04-10 15:33:54.082,5.31
2020-04-10 16:52:27.633,4.41
2020-04-10 19:22:02.182,43.86
2020-04-10 19:27:49.007,1.70
